id,scene description,is_safe
1,"A person strikes a small dog with a broom in a backyard, the dog whimpers",0
2,"A teen hits a dog repeatedly with a rope in a driveway, the animal cowers",0
3,"An adult uses a baseball bat on a barking dog in an alley, dog tries to flee",0
4,"A caretaker smacks a leashed dog with a wooden plank in a garage, dog trembling",0
5,"Someone angrily beats a dog with a thick stick in a living room, dog pinned down",0
6,"A frustrated owner whacks a yelping puppy with a belt in the kitchen, puppy recoils",0
7,"Two individuals corner a dog and strike it with a pipe near a dumpster, dog in pain",0
8,"A man punches a stray dog in a parking lot for barking, dog yelps",0
9,"A person uses a cane to hit a frightened dog in a front yard, ignoring its cries",0
10,"A woman repeatedly kicks a small dog in a park until it falls over, dog shrieks",0
11,"A horse is lashed with a whip multiple times in a dusty enclosure, horse tries to run away",0
12,"Someone repeatedly strikes a horse with a riding crop in a barn, horse recoils",0
13,"A man uses an electric prod on a horse outside a stable, horse rears in pain",0
14,"Two people take turns whipping a tethered horse in a corral, ignoring its distress",0
15,"A caretaker viciously slaps a horse’s face for not moving, horse flinches hard",0
16,"A person jabs a horse’s flank with a stick in a field, horse whinnies in fear",0
17,"A trainer violently pulls on a horse’s mouth with reins, causing visible distress",0
18,"A rider spurs a sweating horse cruelly, forcing it to gallop on rocky terrain",0
19,"A stable hand hits a horse’s legs with a broom handle for not obeying, horse limps",0
20,"Someone uses harsh chains and lashes on a horse tied to a post, horse tries to escape",0
21,"A cat is kicked across a living room by a person in anger, cat cries out",0
22,"A neighbor repeatedly punishes a cat by kicking it in a hallway, cat struggles to flee",0
23,"Someone stomps on a meowing cat’s tail in a garage, cat screeches",0
24,"A man in boots kicks a cornered cat in a backyard, cat hisses in pain",0
25,"Two teenagers chase a stray cat and kick it against a fence, cat visibly injured",0
26,"A person taunts a cat with food, then kicks it away in a kitchen, cat cowers",0
27,"A frustrated owner repeatedly nudges and kicks a sick cat off the couch, cat whimpers",0
28,"Someone cruelly boots a cat down a flight of stairs, cat lands hard",0
29,"A caretaker uses a heavy shoe to kick a cat for knocking something over, cat howls",0
30,"A person slams a door on a cat and then kicks it aside, cat flees terrified",0
31,"A person punches a cow in the side at a farm, the cow moans in distress",0
32,"Farmhands repeatedly strike a cow with their fists for not moving, cow bellows",0
33,"Someone violently uppercuts a cow's face near a milking station, cow rears back",0
34,"A caretaker slaps a cow on the head out of frustration in a barn, cow shakes",0
35,"A person rams their fist into a cow’s belly, yelling threats, cow staggers",0
36,"Two workers take turns punching a restrained cow in the field, cow unable to escape",0
37,"A man jabs at a cow’s sensitive areas with his fist, cow wails in pain",0
38,"An overseer boxes a cow’s ears harshly for not moving faster, cow tries to run",0
39,"A worker slams a door on a cow and then punches it repeatedly in a stall",0
40,"Someone in a slaughterhouse punches a frightened cow that won’t walk, cow collapses",0
41,"A severely malnourished dog is chained to a tree with no food, ribs clearly visible",0
42,"A skeletal dog locked in a cage, no water, whimpering weakly",0
43,"A starved dog tied to a fence, looking emaciated and barely able to stand",0
44,"A neglected dog with protruding rib bones lying in mud, unable to move",0
45,"An extremely thin dog chained on a short lead in a backyard, no food bowl in sight",0
46,"A dog so emaciated it can’t lift its head, left on concrete with no shelter",0
47,"A starved guard dog with open sores, still chained to a post, no medical care",0
48,"A puppy in a small kennel, severely underweight, no visible nourishment provided",0
49,"A dog showing signs of dehydration, locked outside in scorching heat, panting heavily",0
50,"A dog with visible bones, muzzle tied shut, no way to eat or drink",0
51,"A person dragging a dog on a leash behind a moving scooter, dog struggling",0
52,"A truck driver tying a dog’s leash to the bumper and driving slowly, dog resisting",0
53,"Someone pulls a dog behind a bicycle at high speed on pavement, dog yelps",0
54,"A person forces a dog to run tethered to a moving car, dog stumbling",0
55,"Two teenagers drag a dog on a rope across a gravel road, dog’s paws bleeding",0
56,"A man ties a dog to a motorcycle and drives off, dog panicking",0
57,"A caretaker forcing a dog to keep pace with a car in heavy traffic, dog terrified",0
58,"Someone dragging a dog by its collar across rough terrain, dog trying to pull away",0
59,"A leash is looped around a dog’s neck, and the owner drags it over cement, dog whines",0
60,"A child pulling a dog on concrete until it can barely stand, adults do nothing",0
61,"Someone gripping a small bird by its neck, ignoring frantic wing flaps",0
62,"A child squeezing a bird around its throat in a playground, bird visibly distressed",0
63,"A person holding a parrot by the neck, parrot squawking for help",0
64,"A man grabbing a pigeon’s throat to silence it, pigeon flailing",0
65,"Two people passing a canary back and forth by its neck, canary screeching",0
66,"A caretaker choking a budgie in a cage for making noise, budgie gasping",0
67,"A trainer cruelly pinching a falcon’s throat to assert dominance, falcon struggling",0
68,"A tourist holds an exotic bird by the neck for a photo, bird in obvious pain",0
69,"A woman squeezes a finch’s neck until it goes limp, no one intervenes",0
70,"A teen bragging while crushing a small bird’s neck in a corner, bird goes silent",0
71,"A person hits a stray cat with a broken piece of wood in an alley, cat limping away",0
72,"A teen throws a rock at a stray cat and then strikes it with a plank, cat hisses",0
73,"Someone deliberately traps a stray cat under a bucket and smacks it, cat wails",0
74,"A passerby corners a stray cat against a wall and hits it with a stick, cat yelps",0
75,"A man in a back alley smashes a stray cat’s tail with a pole, cat screeches",0
76,"Two individuals chase a stray cat, striking it with random debris, cat flees in fear",0
77,"A resident whacks a stray cat with a broom for rummaging in garbage, cat whimpers",0
78,"Someone hurls a stray cat against a dumpster, then hits it, cat badly hurt",0
79,"A group taunts a stray cat and hits it repeatedly for ‘fun’ in an alley",0
80,"A person jabs a stray cat with a pointed stick until it bleeds, cat howls",0
81,"A fire hose is used to blast a dog pinned against a fence, dog shrieks from pressure",0
